model_gross,alpha_ann_gross,t_stat_gross,p_value_gross,stars_gross,r_squared_gross,n_obs_gross,beta_MKTRF_gross,beta_SMB_gross,beta_MGMT_gross,beta_PERF_gross,ml_model,strategy,factor_model,beta_R_MKT_gross,beta_R_ME_gross,beta_R_IA_gross,beta_R_ROE_gross,beta_R_EG_gross,model_net,alpha_ann_net,t_stat_net,p_value_net,stars_net,r_squared_net,n_obs_net,beta_MKTRF_net,beta_SMB_net,beta_MGMT_net,beta_PERF_net,beta_R_MKT_net,beta_R_ME_net,beta_R_IA_net,beta_R_ROE_net,beta_R_EG_net,alpha_diff,cost_drag_pct
random_forest_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,random_forest,Buy&Hold Offensive,M4,,,,,,random_forest_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,,,,,,0.00645147413059103,19.041189120510253
random_forest_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,random_forest,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519,random_forest_Buy&Hold Offensive_Q5_NET,0.02556636669626878,1.2139370682251278,0.22477175648664816,,0.9308503960538379,306,,,,,1.1126920626133634,0.5421533414065263,-0.26294852486330555,-0.13832710719698763,0.0379608818722214,0.005941771298254871,18.857894107508336
random_forest_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,random_forest,Buy&Hold Defensive,M4,,,,,,random_forest_Buy&Hold Defensive_M4_NET,0.013138250120002649,0.9322239200235919,0.35122081610480116,,0.9161971186918996,306,1.0253289088266369,0.5742890880313041,0.011859534532573329,-0.06393301421095642,,,,,,0.006678940590403139,33.70276184956983
random_forest_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,random_forest,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335,random_forest_Buy&Hold Defensive_Q5_NET,0.018469897761926625,1.0468883399541444,0.29515108023789227,,0.9056005096562736,306,,,,,1.0384797852375938,0.4730127582735907,0.07540926260571308,-0.013610022079612028,-0.01274681046878007,0.00621462719905538,25.176207396652888
random_forest_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,random_forest,Static 60/40,M4,,,,,,random_forest_Static 60/40_M4_NET,0.021690677319292462,1.3189634777292154,0.18718132270278265,,0.9352218189770963,306,1.0533973395267497,0.6049795107419011,-0.14502075059515226,-0.07459675805803785,,,,,,0.0065652073604970974,23.234832088598377
random_forest_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,random_forest,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725,random_forest_Static 60/40_Q5_NET,0.022700495306041527,1.1751973230382669,0.23991578098267363,,0.9267727251448373,306,,,,,1.082918686489019,0.5145860409709592,-0.12765382119767676,-0.08839084780157361,0.017791636058749696,0.006078199248655134,21.120482852698323
xgboost_Regime-Switching_M4,0.03465056463048008,1.8083193066519476,0.07055681871872081,*,0.9328335061545334,306,1.0640567340494138,0.6217933302800159,-0.22600763061669288,-0.08691079757167887,xgboost,Regime-Switching,M4,,,,,,xgboost_Regime-Switching_M4_NET,0.02808535726998298,1.4715660140643134,0.14113810878997632,,0.9332845492143491,306,1.0615724159421676,0.6191874154586113,-0.22900907470385004,-0.08833481893854757,,,,,,0.006565207360497101,18.946898645114924
xgboost_Regime-Switching_Q5,0.032655731105892455,1.4528609817590807,0.1462623562444424,,0.9264051546337362,306,,,,,xgboost,Regime-Switching,Q5,1.1039481251649799,0.5355566539180169,-0.2377688287161517,-0.1470087921852098,0.0517760118840377,xgboost_Regime-Switching_Q5_NET,0.02657753185723733,1.190437764704273,0.23387437738412542,,0.9268851055781614,306,,,,,1.1009911937992911,0.5322537606042551,-0.24080890514093262,-0.14872978673195428,0.045167654130416644,0.006078199248655124,18.61296330786593
xgboost_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,xgboost,Buy&Hold Offensive,M4,,,,,,xgboost_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,,,,,,0.00645147413059103,19.041189120510253
xgboost_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,xgboost,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519,xgboost_Buy&Hold Offensive_Q5_NET,0.02556636669626878,1.2139370682251278,0.22477175648664816,,0.9308503960538379,306,,,,,1.1126920626133634,0.5421533414065263,-0.26294852486330555,-0.13832710719698763,0.0379608818722214,0.005941771298254871,18.857894107508336
