model_gross,alpha_ann_gross,t_stat_gross,p_value_gross,stars_gross,r_squared_gross,n_obs_gross,beta_MKTRF_gross,beta_SMB_gross,beta_HML_gross,beta_RMW_gross,beta_CMA_gross,ml_model,strategy,factor_model,beta_UMD_gross,beta_QMJ_gross,model_net,alpha_ann_net,t_stat_net,p_value_net,stars_net,r_squared_net,n_obs_net,beta_MKTRF_net,beta_SMB_net,beta_HML_net,beta_RMW_net,beta_CMA_net,beta_UMD_net,beta_QMJ_net,alpha_diff,cost_drag_pct
xgboost_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,xgboost,Buy&Hold Offensive,FF5,,,xgboost_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,,,0.005863723722772742,42.46399264511408
xgboost_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,xgboost,Buy&Hold Offensive,FF6,-0.16152860482101664,,xgboost_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,-0.16206979838638869,,0.005815309217661536,20.578722371434537
xgboost_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,xgboost,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353,xgboost_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,-0.1805561431899243,0.07356528120973736,0.005634568343161214,21.739890619729906
xgboost_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,xgboost,Buy&Hold Defensive,FF5,,,xgboost_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,,,0.006074372478253118,113.21181629574507
xgboost_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,xgboost,Buy&Hold Defensive,FF6,-0.1325165564234249,,xgboost_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,-0.1332038288128697,,0.006012889942723148,34.917532589934474
xgboost_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,xgboost,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772,xgboost_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,-0.14458264322745729,0.045281297689656996,0.0058117070648263675,37.04190959563555
xgboost_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,xgboost,Static 60/40,FF5,,,xgboost_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,,,0.005969048100512921,57.22183497936538
xgboost_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,xgboost,Static 60/40,FF6,-0.14992379227908595,,xgboost_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,-0.15053802525649437,,0.005914099580192338,24.803913379989815
xgboost_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,xgboost,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852,xgboost_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,-0.1661638633627678,0.062182069340499045,0.005723137703993776,26.220828673405144
lstm_expanding_Regime-Switching_FF5,0.012320378602899447,1.0993304372900765,0.27162396071822137,,0.9452665373681417,370,1.1277987557418812,0.6964254964899023,0.019950774152272786,0.2215142692672708,-0.05222667641227507,lstm_expanding,Regime-Switching,FF5,,,lstm_expanding_Regime-Switching_FF5_NET,0.006351330502386537,0.5556585827462044,0.5784442751190246,,0.9450614680008667,370,1.126561274052129,0.6942583649457674,0.021714996445372906,0.22036317561512722,-0.05691015367363236,,,0.00596904810051291,48.44857688957845
lstm_expanding_Regime-Switching_FF6,0.023498616635681417,2.003890799113561,0.045081759373861316,**,0.9534246227015365,370,1.0989280905571623,0.6993957386650976,-0.06771112198858932,0.23694797420307173,0.014458909292746795,lstm_expanding,Regime-Switching,FF6,-0.12495409137497973,,lstm_expanding_Regime-Switching_FF6_NET,0.017584517055489083,1.477934086321005,0.13942542163530422,,0.953314616583034,370,1.0975486902280043,0.6972432078489167,-0.06637781657767662,0.23587274753880227,0.010103236310602023,-0.12556832435238824,,0.005914099580192334,25.16786273797958
lstm_expanding_Regime-Switching_FF7,0.020531483766831636,1.6036615751045082,0.10878867004124076,,0.9541171175295035,370,1.1022335725063126,0.713633174203378,-0.06607817067824391,0.17127304224765585,0.02758889529750706,lstm_expanding,Regime-Switching,FF7,-0.1503483257261343,0.10105480618274275,lstm_expanding_Regime-Switching_FF7_NET,0.014808346062837853,1.1464249406456566,0.25161936794208084,,0.9539219219977083,370,1.1006414344728948,0.7105643354485834,-0.06484996047531415,0.17442459233379623,0.02238818878543342,-0.14932820970379374,0.09455101405730343,0.005723137703993783,27.874934753811814
lstm_expanding_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,lstm_expanding,Buy&Hold Offensive,FF5,,,lstm_expanding_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,,,0.005863723722772742,42.46399264511408
lstm_expanding_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,lstm_expanding,Buy&Hold Offensive,FF6,-0.16152860482101664,,lstm_expanding_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,-0.16206979838638869,,0.005815309217661536,20.578722371434537
lstm_expanding_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,lstm_expanding,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353,lstm_expanding_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,-0.1805561431899243,0.07356528120973736,0.005634568343161214,21.739890619729906
lstm_expanding_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,lstm_expanding,Buy&Hold Defensive,FF5,,,lstm_expanding_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,,,0.006074372478253118,113.21181629574507
lstm_expanding_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,lstm_expanding,Buy&Hold Defensive,FF6,-0.1325165564234249,,lstm_expanding_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,-0.1332038288128697,,0.006012889942723148,34.917532589934474
lstm_expanding_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,lstm_expanding,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772,lstm_expanding_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,-0.14458264322745729,0.045281297689656996,0.0058117070648263675,37.04190959563555
lstm_expanding_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,lstm_expanding,Static 60/40,FF5,,,lstm_expanding_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,,,0.005969048100512921,57.22183497936538
lstm_expanding_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,lstm_expanding,Static 60/40,FF6,-0.14992379227908595,,lstm_expanding_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,-0.15053802525649437,,0.005914099580192338,24.803913379989815
lstm_expanding_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,lstm_expanding,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852,lstm_expanding_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,-0.1661638633627678,0.062182069340499045,0.005723137703993776,26.220828673405144
